id_test,function_name,array_length,comparison,time,space
32,binary_search,121000,49,0.20143771171569824,0.0
33,sequantial_search,121000,121000,0.22394824028015137,0.0
33,advanced_sequantial_search,121000,61912,0.21947669982910156,0.0
33,binary_search,121000,49,0.20238304138183594,0.0
34,sequantial_search,121000,121000,0.22685027122497559,0.0
34,advanced_sequantial_search,121000,207490,0.26033496856689453,0.0
34,binary_search,121000,49,0.2025432586669922,0.0
35,sequantial_search,141000,141000,0.23109650611877441,0.0
35,advanced_sequantial_search,141000,7248,0.20767450332641602,0.0
35,binary_search,141000,49,0.20145869255065918,0.0
36,sequantial_search,141000,141000,0.228898286819458,0.0
36,advanced_sequantial_search,141000,159084,0.25169992446899414,0.0
36,binary_search,141000,49,0.2010326385498047,0.0
37,sequantial_search,141000,141000,0.24640846252441406,0.0
37,advanced_sequantial_search,141000,132796,0.24742674827575684,0.0
37,binary_search,141000,49,0.2024064064025879,0.0
38,sequantial_search,141000,141000,0.23015451431274414,0.0
38,advanced_sequantial_search,141000,252076,0.273021936416626,0.0
38,binary_search,141000,49,0.20217490196228027,0.0
39,sequantial_search,141000,4709,0.20236611366271973,0.0
39,advanced_sequantial_search,141000,9417,0.20872020721435547,0.0
39,binary_search,141000,49,0.20173358917236328,0.0
40,sequantial_search,161000,161000,0.24036908149719238,0.03125
40,advanced_sequantial_search,161000,116384,0.2409834861755371,0.0
40,binary_search,161000,52,0.20120668411254883,0.0
41,sequantial_search,161000,161000,0.24911880493164062,0.0
41,advanced_sequantial_search,161000,48758,0.2152876853942871,0.0
41,binary_search,161000,49,0.20145225524902344,0.0
42,sequantial_search,161000,161000,0.2319185733795166,0.0
42,advanced_sequantial_search,161000,230870,0.2673807144165039,0.0
42,binary_search,161000,52,0.20174407958984375,0.0
43,sequantial_search,161000,161000,0.23392033576965332,0.0
43,advanced_sequantial_search,161000,132834,0.22809147834777832,0.0
43,binary_search,161000,49,0.20134711265563965,0.0
44,sequantial_search,161000,161000,0.2506711483001709,0.0
44,advanced_sequantial_search,161000,181438,0.23688316345214844,0.0
44,binary_search,161000,52,0.2014920711517334,0.0
45,sequantial_search,181000,181000,0.2545914649963379,0.0
45,advanced_sequantial_search,181000,7120,0.20743012428283691,0.0
45,binary_search,181000,52,0.2017686367034912,0.0
46,sequantial_search,181000,181000,0.2561361789703369,0.0
46,advanced_sequantial_search,181000,77994,0.22169065475463867,0.0
46,binary_search,181000,49,0.2019352912902832,0.0
47,sequantial_search,181000,181000,0.2441878318786621,0.0
47,advanced_sequantial_search,181000,167718,0.23563075065612793,0.0
47,binary_search,181000,52,0.20235419273376465,0.0
48,sequantial_search,181000,181000,0.23995065689086914,0.0
48,advanced_sequantial_search,181000,184228,0.25469279289245605,0.0
48,binary_search,181000,49,0.20211505889892578,0.0
49,sequantial_search,181000,167229,0.2466144561767578,0.0
49,advanced_sequantial_search,181000,334457,0.2638683319091797,0.0
49,binary_search,181000,50,0.20262956619262695,0.0
50,sequantial_search,201000,201000,0.2445204257965088,0.0
50,advanced_sequantial_search,201000,161788,0.23363113403320312,0.0
50,binary_search,201000,52,0.20186138153076172,0.0
51,sequantial_search,201000,201000,0.24712920188903809,0.0
51,advanced_sequantial_search,201000,386984,0.27730846405029297,0.0
51,binary_search,201000,52,0.2016456127166748,0.0
52,sequantial_search,201000,201000,0.24527454376220703,0.0
52,advanced_sequantial_search,201000,161136,0.24557065963745117,0.0
52,binary_search,201000,52,0.20139145851135254,0.0
53,sequantial_search,201000,201000,0.24120283126831055,0.0
53,advanced_sequantial_search,201000,117666,0.22868824005126953,0.0
53,binary_search,201000,52,0.20185542106628418,0.0
